Model,ROC_AUC,PR_AUC,BestF1
LightGBM,0.6389986885006484,0.033067980087577165,0.07352242075606812
RandomForest,0.6277855267002399,0.03597410121735137,0.07814590670528819
XGBoost,0.6312687665611514,0.034226267487069036,0.07392450534873686
