Model,ROC_AUC,PR_AUC,BestThreshold,BestF1
RandomForest,0.9967559396784749,0.26571657464317644,0.108,0.4085106382975137
LightGBM,0.9965407597097738,0.2677489983407001,0.002576477833780329,0.3642611683845732
XGBoost,0.9966716460378432,0.27405479335559724,0.0781223326921463,0.37246963562718416
