Protocol,NumFeatures,Model,ROC_AUC,PR_AUC,BestThreshold,BestF1
Biased,20,RandomForest,0.9967840375586854,0.27326060887894693,0.106,0.41201716738161354
Biased,20,LightGBM,0.9964909659980082,0.2592065702695178,0.05653437585266539,0.3679245283015025
Biased,20,XGBoost,0.9968950064020488,0.30287759181956225,0.8072299957275391,0.40322580645111933
Standard,13,RandomForest,0.9970422535211267,0.28472382225907633,0.134,0.4265402843598041
Standard,13,LightGBM,0.9965763266467492,0.28766564654890525,0.005805139582415796,0.3763837638373148
Standard,13,XGBoost,0.9968345426091905,0.27379863392447173,0.5104702711105347,0.3885714285709975
Ultra,8,RandomForest,0.9330800967420686,0.11462260869250653,0.062,0.2403100775190444
Ultra,8,LightGBM,0.975576540048371,0.1831965543048598,0.08747613732498195,0.2577319587624803
Ultra,8,XGBoost,0.9836235595390526,0.1620500274254272,0.15474027395248413,0.2403100775190444
