Model,Metric,PointEstimate,BootstrapMean,CI_low,CI_high,N_valid_resamples
RandomForest,ROC_AUC,0.5548887938378856,0.5553550834662173,0.50889168008838,0.6049102044326786,1000
RandomForest,PR_AUC,0.014462194356331146,0.016246283625180238,0.010828000113462967,0.027216358779390826,1000
LightGBM,ROC_AUC,0.5679320858240325,0.5680452131306211,0.5205358485778248,0.6102978365220137,1000
LightGBM,PR_AUC,0.013677430871894498,0.014560694715711286,0.010885092088123804,0.020052333763694686,1000
XGBoost,ROC_AUC,0.5770864807272386,0.5772398518381516,0.5318191400551113,0.6191239397547972,1000
XGBoost,PR_AUC,0.013659724510083692,0.014527494021939265,0.010977200434877325,0.0198809968281995,1000
