Model,ROC_AUC_UltraStrict,PR_AUC_UltraStrict,BestF1,PR_AUC_Biased_Chrono,ROC_AUC_Biased_Chrono
LightGBM,0.6389986885006484,0.033067980087577165,0.07352242075606812,0.0134565125271073,0.5829991276088257
RandomForest,0.6277855267002399,0.03597410121735137,0.07814590670528819,0.0150263752695711,0.5453270834226697
XGBoost,0.6312687665611514,0.034226267487069036,0.07392450534873686,0.0149081153329752,0.5981738835185555
