time,pair,type,price,amount,total,coin,quote,date,market_close,label_pump,n_exchanges,quote_close_usd,price_usd_equivalent,conversion_status,premium_pct
2018-01-04 12:57:26,WAVES/BTC,BUY,0.00083033,0.25538627,0.00021205,WAVES,BTC,2018-01-04,,0.0,,,,missing_quote_price,
2018-01-04 19:41:28,WAVES/BTC,SELL,0.0008555,0.25538627,0.00021848,WAVES,BTC,2018-01-04,,0.0,,,,missing_quote_price,
2018-01-09 16:43:15,WAVES/BTC,BUY,0.000873,0.4827447,0.00042143,WAVES,BTC,2018-01-09,,0.0,,,,missing_quote_price,
2018-01-09 20:06:09,WAVES/DOGE,SELL,949.99899,0.4827447,458.60697742,WAVES,DOGE,2018-01-09,,0.0,,,,missing_quote_price,
2018-01-15 22:29:14,WAVES/DOGE,SELL,1198.0,0.00916701,10.98207798,WAVES,DOGE,2018-01-15,,0.0,,,,missing_quote_price,
2018-01-15 22:44:27,WAVES/DOGE,SELL,1198.0,0.01240958,14.86667684,WAVES,DOGE,2018-01-15,,0.0,,,,missing_quote_price,
2018-04-14 19:12:43,WAVES/BTC,BUY,0.00056052,0.20793313,0.00011655,WAVES,BTC,2018-04-14,4.71,0.0,1.0,8000.0,4.48416,converted,-4.794904458598726
2018-04-14 19:13:03,WAVES/BTC,BUY,0.00056052,3.7738331,0.0021153,WAVES,BTC,2018-04-14,4.71,0.0,1.0,8000.0,4.48416,converted,-4.794904458598726
2018-04-14 19:17:32,WAVES/BTC,BUY,0.00056052,0.23237083,0.00013024,WAVES,BTC,2018-04-14,4.71,0.0,1.0,8000.0,4.48416,converted,-4.794904458598726
2018-04-14 19:17:32,WAVES/BTC,BUY,0.00056052,4.31919232,0.00242099,WAVES,BTC,2018-04-14,4.71,0.0,1.0,8000.0,4.48416,converted,-4.794904458598726
2021-01-02 04:23:59,WAVES/USD,BUY,5.9935,2.96015995,17.74171866,WAVES,USD,2021-01-02,5.5920000000000005,0.0,2.0,,5.9935,native_usd,7.179899856938476
2021-01-17 14:43:59,WAVES/USD,SELL,7.25,2.94706087,21.3661913,WAVES,USD,2021-01-17,7.3805499999999995,0.0,2.0,,7.25,native_usd,-1.7688383657044504
2021-01-17 14:43:59,WAVES/USD,SELL,7.25,0.01309981,0.09497362,WAVES,USD,2021-01-17,7.3805499999999995,0.0,2.0,,7.25,native_usd,-1.7688383657044504
2021-01-28 01:36:55,WAVES/USD,BUY,6.2,3.44765994,21.37549162,WAVES,USD,2021-01-28,6.2667,0.0,2.0,,6.2,native_usd,-1.0643560406593533
2021-01-31 10:39:42,WAVES/USD,SELL,6.99999999,3.44765994,24.13361954,WAVES,USD,2021-01-31,6.54535,0.0,2.0,,6.99999999,native_usd,6.946152459379551
2021-02-16 18:38:41,WAVES/USD,BUY,10.61000001,0.28555569,3.02974587,WAVES,USD,2021-02-16,11.09535,0.0,2.0,,10.61000001,native_usd,-4.374354932471702
2021-02-16 18:38:50,WAVES/USD,BUY,10.61000001,0.08205224,0.87057426,WAVES,USD,2021-02-16,11.09535,0.0,2.0,,10.61000001,native_usd,-4.374354932471702
2021-02-16 18:39:23,WAVES/USD,BUY,10.61000001,0.43239207,4.58767986,WAVES,USD,2021-02-16,11.09535,0.0,2.0,,10.61000001,native_usd,-4.374354932471702
2021-02-19 19:35:44,WAVES/USD,SELL,12.78,0.8,10.224,WAVES,USD,2021-02-19,12.55715,0.0,2.0,,12.78,native_usd,1.7746861349908105
2021-02-20 23:39:37,WAVES/USD,BUY,12.5,2.1,26.25,WAVES,USD,2021-02-20,12.2446,0.0,2.0,,12.5,native_usd,2.0858174215572456
2021-02-22 18:41:46,WAVES/USD,BUY,10.3600002,0.52201789,5.40810544,WAVES,USD,2021-02-22,10.61435,0.0,2.0,,10.3600002,native_usd,-2.396282391291038
2021-02-24 07:59:01,WAVES/USD,BUY,9.92941,0.04424055,0.43928255,WAVES,USD,2021-02-24,9.815100000000001,0.0,2.0,,9.92941,native_usd,1.1646340842171643
2021-02-25 16:51:58,WAVES/USD,SELL,10.67,0.56625844,6.04197755,WAVES,USD,2021-02-25,9.587250000000001,0.0,2.0,,10.67,native_usd,11.293645205872371
2021-02-28 03:45:40,WAVES/USD,BUY,9.5,1.0,9.5,WAVES,USD,2021-02-28,8.88365,0.0,2.0,,9.5,native_usd,6.9380265994270385
2021-03-02 10:24:45,WAVES/USD,SELL,9.89999999,1.0,9.89999999,WAVES,USD,2021-03-02,9.423100000000002,0.0,2.0,,9.89999999,native_usd,5.060967091509139
2021-03-24 10:21:47,WAVES/USD,SELL,12.9,2.1,27.09,WAVES,USD,2021-03-24,10.8505,0.0,2.0,,12.9,native_usd,18.888530482466237
2021-11-08 19:13:57,WAVES/USD,BUY,25.58,0.07536501,1.92783695,WAVES,USD,2021-11-08,25.5444,0.0,2.0,,25.58,native_usd,0.1393651837584775
2021-11-10 10:52:12,WAVES/USD,SELL,27.299999,0.07536501,2.05746469,WAVES,USD,2021-11-10,23.9088,0.0,2.0,,27.299999,native_usd,14.183894632938499
2021-11-12 09:07:47,WAVES/USD,BUY,24.55,5.0,122.75,WAVES,USD,2021-11-12,23.41685,0.0,2.0,,24.55,native_usd,4.839036847398348
2021-11-12 16:37:48,WAVES/USD,BUY,23.88,5.5,131.34,WAVES,USD,2021-11-12,23.41685,0.0,2.0,,23.88,native_usd,1.97784928374225
2021-11-13 15:17:15,WAVES/USD,SELL,24.418,1.27988322,31.25218846,WAVES,USD,2021-11-13,23.727899999999998,0.0,2.0,,24.418,native_usd,2.9083905444645453
2021-11-13 18:01:31,WAVES/USD,SELL,24.6,2.62532271,64.58293866,WAVES,USD,2021-11-13,23.727899999999998,0.0,2.0,,24.6,native_usd,3.6754200751014876
2021-11-18 08:32:55,WAVES/USD,SELL,24.98999,6.59479407,164.80383786,WAVES,USD,2021-11-18,21.68315,0.0,2.0,,24.98999,native_usd,15.250736170713196
